127.0.0.1 - - [15/Jul/2024:18:14:53 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Jul/2024:18:14:54 +0530] "GET /TapFoods/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:18:14:54 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Jul/2024:18:14:57 +0530] "POST /TapFoods/CallinServlet1 HTTP/1.1" 200 14156
0:0:0:0:0:0:0:1 - - [15/Jul/2024:18:14:57 +0530] "GET /TapFoods/imgfolder/PizzaHut.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:18:14:57 +0530] "GET /TapFoods/imgfolder/BOX8DesiMeals.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:18:14:57 +0530] "GET /TapFoods/imgfolder/Wow!Momo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:18:14:57 +0530] "GET /TapFoods/imgfolder/McDonald's.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:18:14:57 +0530] "GET /TapFoods/imgfolder/DominosPizza.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:18:14:57 +0530] "GET /TapFoods/imgfolder/OvenStoryPizzaStandoutToppings.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:18:14:57 +0530] "GET /TapFoods/imgfolder/KantiSweets.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:18:14:57 +0530] "GET /TapFoods/imgfolder/KFC.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:18:14:57 +0530] "GET /TapFoods/imgfolder/Subway.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:18:14:57 +0530] "GET /TapFoods/imgfolder/GrameenKulfi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:18:14:57 +0530] "GET /TapFoods/imgfolder/NH1BowlsHighwayToNorth.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:18:14:57 +0530] "GET /TapFoods/imgfolder/SamosaParty.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:18:14:57 +0530] "GET /TapFoods/imgfolder/SeoulMateKoreanBurgers.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:18:14:57 +0530] "GET /TapFoods/imgfolder/NOTOIceCreams&Desserts.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:18:14:57 +0530] "GET /TapFoods/imgfolder/KaatiZoneRolls&Wraps.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:18:14:57 +0530] "GET /TapFoods/imgfolder/GoZeroIceCreams&Desserts.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:18:14:57 +0530] "GET /TapFoods/imgfolder/HavmorHavfunnIceCream.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:18:14:57 +0530] "GET /TapFoods/imgfolder/RollsOnWheelsShawarmaWraps.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:18:14:57 +0530] "GET /TapFoods/imgfolder/KwalityWallsFrozenDessertandIceCreamShop.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:18:14:57 +0530] "GET /TapFoods/imgfolder/ItminaanMatkaBiryaniSlowCooked.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:18:15:00 +0530] "GET /TapFoods/SignUp.jsp HTTP/1.1" 200 3877
0:0:0:0:0:0:0:1 - - [15/Jul/2024:18:15:00 +0530] "GET /TapFoods/forms_SingnUp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:18:15:00 +0530] "GET /TapFoods/imgfolder/seaimage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:18:15:00 +0530] "GET /TapFoods/imgfolder/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:18:15:00 +0530] "GET /TapFoods/imgfolder/email.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:18:15:00 +0530] "GET /TapFoods/imgfolder/password.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:18:15:00 +0530] "GET /TapFoods/imgfolder/phone.png HTTP/1.1" 304 -
