127.0.0.1 - - [20/Jan/2025:22:13:38 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:13:39 +0530] "GET /TapFoods/index.html HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:13:39 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:13:41 +0530] "POST /TapFoods/CallinServlet1 HTTP/1.1" 200 14156
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:13:41 +0530] "GET /TapFoods/imgfolder/DominosPizza.jpg HTTP/1.1" 200 103950
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:13:41 +0530] "GET /TapFoods/imgfolder/PizzaHut.jpg HTTP/1.1" 200 168075
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:13:42 +0530] "GET /TapFoods/imgfolder/McDonald's.jpg HTTP/1.1" 200 102590
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:13:42 +0530] "GET /TapFoods/imgfolder/BOX8DesiMeals.jpg HTTP/1.1" 200 150687
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:13:42 +0530] "GET /TapFoods/imgfolder/Wow!Momo.jpg HTTP/1.1" 200 148295
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:13:42 +0530] "GET /TapFoods/imgfolder/NH1BowlsHighwayToNorth.jpg HTTP/1.1" 200 112363
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:13:42 +0530] "GET /TapFoods/imgfolder/KantiSweets.jpg HTTP/1.1" 200 104708
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:13:42 +0530] "GET /TapFoods/imgfolder/ItminaanMatkaBiryaniSlowCooked.jpg HTTP/1.1" 200 215151
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:13:42 +0530] "GET /TapFoods/imgfolder/OvenStoryPizzaStandoutToppings.jpg HTTP/1.1" 200 173213
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:13:42 +0530] "GET /TapFoods/imgfolder/Subway.jpg HTTP/1.1" 200 109636
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:13:42 +0530] "GET /TapFoods/imgfolder/KFC.jpg HTTP/1.1" 200 106344
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:13:42 +0530] "GET /TapFoods/imgfolder/SamosaParty.jpg HTTP/1.1" 200 70180
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:13:42 +0530] "GET /TapFoods/imgfolder/GrameenKulfi.jpg HTTP/1.1" 200 77254
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:13:42 +0530] "GET /TapFoods/imgfolder/SeoulMateKoreanBurgers.jpg HTTP/1.1" 200 87046
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:13:42 +0530] "GET /TapFoods/imgfolder/KaatiZoneRolls&Wraps.jpg HTTP/1.1" 200 121429
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:13:42 +0530] "GET /TapFoods/imgfolder/GoZeroIceCreams&Desserts.jpg HTTP/1.1" 200 80978
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:13:42 +0530] "GET /TapFoods/imgfolder/NOTOIceCreams&Desserts.jpg HTTP/1.1" 200 117018
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:13:42 +0530] "GET /TapFoods/imgfolder/RollsOnWheelsShawarmaWraps.jpg HTTP/1.1" 200 135967
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:13:42 +0530] "GET /TapFoods/imgfolder/HavmorHavfunnIceCream.jpg HTTP/1.1" 200 103648
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:13:42 +0530] "GET /TapFoods/imgfolder/KwalityWallsFrozenDessertandIceCreamShop.jpg HTTP/1.1" 200 92914
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:14:32 +0530] "GET /TapFoods/SignIn.jsp HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:14:32 +0530] "GET /TapFoods/forms_SignIn.js HTTP/1.1" 200 1514
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:14:32 +0530] "GET /TapFoods/imgfolder/natur.jpg HTTP/1.1" 200 629652
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:14:32 +0530] "GET /TapFoods/imgfolder/password.png HTTP/1.1" 200 7972
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:14:32 +0530] "GET /TapFoods/imgfolder/user.png HTTP/1.1" 200 17531
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:14:49 +0530] "POST /TapFoods/UserValidation HTTP/1.1" 200 20312
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:14:49 +0530] "GET /TapFoods/imgfolder/logout.png HTTP/1.1" 200 19882
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:15:41 +0530] "GET /TapFoods/MenuServlet?restaurantId=10 HTTP/1.1" 200 9283
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:15:41 +0530] "GET /TapFoods/MenuImages/ChickenKeemaSandwichSideCoke.jpg HTTP/1.1" 200 45123
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:15:41 +0530] "GET /TapFoods/MenuImages/EggnCheeseSandwichSideCoke.jpg HTTP/1.1" 200 41385
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:15:41 +0530] "GET /TapFoods/MenuImages/RoastChickenMeltSandwichSideCoke.jpg HTTP/1.1" 200 42211
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:15:41 +0530] "GET /TapFoods/MenuImages/BombayGrillSandwichSideCoke.jpg HTTP/1.1" 200 42198
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:15:41 +0530] "GET /TapFoods/MenuImages/3CheeseMeltSandwichSideCoke.jpg HTTP/1.1" 200 41695
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:16:04 +0530] "GET /TapFoods/CallingAddCardServlet1?menuId=46&quantity_m=0 HTTP/1.1" 200 7060
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:16:32 +0530] "GET /TapFoods/Menu.jsp? HTTP/1.1" 200 9334
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:16:36 +0530] "GET /TapFoods/CallingAddCardServlet1?menuId=47&quantity_m=0 HTTP/1.1" 200 8105
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:16:43 +0530] "GET /TapFoods/UpdateServlet1?menuId_u=46&quantity_cart=1&update_btn=update HTTP/1.1" 200 8105
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:16:51 +0530] "GET /TapFoods/Menu.jsp? HTTP/1.1" 200 9334
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:17:04 +0530] "GET /TapFoods/CallingAddCardServlet1?menuId=47&quantity_m=2 HTTP/1.1" 200 8105
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:17:07 +0530] "GET /TapFoods/Menu.jsp? HTTP/1.1" 200 9334
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:18:10 +0530] "GET /TapFoods/CallingAddCardServlet1?menuId=50&quantity_m=0 HTTP/1.1" 200 9170
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:18:16 +0530] "GET /TapFoods/CheckoutValidation.jsp HTTP/1.1" 200 3325
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:18:39 +0530] "GET /TapFoods/CallingOrderDetails?address=&PaymentMode=Cash+on+Delivery&confirm= HTTP/1.1" 200 3197
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:18:52 +0530] "GET /TapFoods/CallingCheckOut HTTP/1.1" 200 2149
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:18:52 +0530] "GET /TapFoods/imgfolder/Food_Delivery.mp4 HTTP/1.1" 206 1410816
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:18:52 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:19:33 +0530] "GET /TapFoods/CallinServlet2 HTTP/1.1" 200 20265
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:19:34 +0530] "GET /TapFoods/ViewCart.jsp HTTP/1.1" 200 20311
0:0:0:0:0:0:0:1 - - [20/Jan/2025:22:19:38 +0530] "GET /TapFoods/CallingOrderHistory HTTP/1.1" 200 4089
