127.0.0.1 - - [24/Mar/2025:20:21:39 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Mar/2025:20:21:40 +0530] "GET /TapFoods/index.html HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [24/Mar/2025:20:21:40 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Mar/2025:20:21:42 +0530] "POST /TapFoods/CallinServlet1 HTTP/1.1" 200 14156
0:0:0:0:0:0:0:1 - - [24/Mar/2025:20:21:42 +0530] "GET /TapFoods/imgfolder/BOX8DesiMeals.jpg HTTP/1.1" 200 150687
0:0:0:0:0:0:0:1 - - [24/Mar/2025:20:21:42 +0530] "GET /TapFoods/imgfolder/NH1BowlsHighwayToNorth.jpg HTTP/1.1" 200 112363
0:0:0:0:0:0:0:1 - - [24/Mar/2025:20:21:42 +0530] "GET /TapFoods/imgfolder/McDonald's.jpg HTTP/1.1" 200 102590
0:0:0:0:0:0:0:1 - - [24/Mar/2025:20:21:42 +0530] "GET /TapFoods/imgfolder/Wow!Momo.jpg HTTP/1.1" 200 148295
0:0:0:0:0:0:0:1 - - [24/Mar/2025:20:21:42 +0530] "GET /TapFoods/imgfolder/DominosPizza.jpg HTTP/1.1" 200 103950
0:0:0:0:0:0:0:1 - - [24/Mar/2025:20:21:42 +0530] "GET /TapFoods/imgfolder/PizzaHut.jpg HTTP/1.1" 200 168075
0:0:0:0:0:0:0:1 - - [24/Mar/2025:20:21:42 +0530] "GET /TapFoods/imgfolder/KantiSweets.jpg HTTP/1.1" 200 104708
0:0:0:0:0:0:0:1 - - [24/Mar/2025:20:21:42 +0530] "GET /TapFoods/imgfolder/OvenStoryPizzaStandoutToppings.jpg HTTP/1.1" 200 173213
0:0:0:0:0:0:0:1 - - [24/Mar/2025:20:21:42 +0530] "GET /TapFoods/imgfolder/Subway.jpg HTTP/1.1" 200 109636
0:0:0:0:0:0:0:1 - - [24/Mar/2025:20:21:42 +0530] "GET /TapFoods/imgfolder/ItminaanMatkaBiryaniSlowCooked.jpg HTTP/1.1" 200 215151
0:0:0:0:0:0:0:1 - - [24/Mar/2025:20:21:42 +0530] "GET /TapFoods/imgfolder/GrameenKulfi.jpg HTTP/1.1" 200 77254
0:0:0:0:0:0:0:1 - - [24/Mar/2025:20:21:42 +0530] "GET /TapFoods/imgfolder/SamosaParty.jpg HTTP/1.1" 200 70180
0:0:0:0:0:0:0:1 - - [24/Mar/2025:20:21:42 +0530] "GET /TapFoods/imgfolder/SeoulMateKoreanBurgers.jpg HTTP/1.1" 200 87046
0:0:0:0:0:0:0:1 - - [24/Mar/2025:20:21:42 +0530] "GET /TapFoods/imgfolder/KaatiZoneRolls&Wraps.jpg HTTP/1.1" 200 121429
0:0:0:0:0:0:0:1 - - [24/Mar/2025:20:21:42 +0530] "GET /TapFoods/imgfolder/NOTOIceCreams&Desserts.jpg HTTP/1.1" 200 117018
0:0:0:0:0:0:0:1 - - [24/Mar/2025:20:21:42 +0530] "GET /TapFoods/imgfolder/GoZeroIceCreams&Desserts.jpg HTTP/1.1" 200 80978
